Species,Height.at.maturity...m.,Year.first.cultivated,Minimum.seed.bearing.age..yr.,Years.between.large.seedcrops,pdf.table.number,pdf_page_number,genus.name,Height.at.maturity..m.,Years.between.large.seed.crops,Cone.ripeness.Pre.ripe.color,criteria.Ripe.color,Years.between.large.crops,Fruit.ripeness.Preripe.color,Minimum.seed.bearing.age...yr.s.,Fruit.Preripe.color,ripeness.criteria.Ripe.color,Height..m.at.maturity,Minimum.seed.bearing.age...yr.s..1,Fruit.Preripe,color.Ripe,X..m.,cultivated,age...yr.s.,crops,Ripe.fruit.color,Diameter,Length,Mature.tree.height..m.,Age.at.onset.seed.bearing..yr.,Years.between.cone.crops,Mature.height..m.,Cone.length..cm.,Color.of.ripe.cones,Age.at.onset.seed.bearing,Years.large.Time,between.seedcrops.Location,Years.between.seedcrops
saccharum,NA,Long ago,NA,07-Mar,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spicatum,NA,1750,NA,NA,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laevigata,NA,1811,NA,NA,3,368,Celtis,18-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Green,Dark orange to red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laevigata var. reticulata,NA,1890,NA,NA,3,368,Celtis,14-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange-red or yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
occidentalis,NA,1656,NA,NA,3,368,Celtis,9-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange-red,Dark reddish purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alleghaniensis,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,1889,4,I,Dark purple,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
americana,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09-Mar,1768,4,I-2,Red or yellowish,20-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
angustifolia,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3-7.6,~ 1874,2,NA,Red or yellow,20-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
armeniaca,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,Early,5,2,Yellowish with red,30+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avium,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9-30.5,Early,6-7,I,Yellow to red or purplish black,20-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caroliniana,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5-12,NA,NA,NA,Black,13-Oct,13-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasifera,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,Early,3,03-Feb,Red,16-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasus,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Sep,Early,6-7,I,Light to dark red,25-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestica,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Sep,Early,5,NA,Often blue-purple,30+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d. var. insititia,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-7.6,Early,NA,NA,Yellow to bluish black,25+,15-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dulcis,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09-Mar,Early,"4-,----",I,Brownish,30+,30-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
emarginata,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-15,1918,NA,NA,Bright red,12-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fasciculata,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-2.4,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fremontii,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5-3.7,NA,NA,NA,Yellowish,15-20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gracilis,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,Red,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hortulana,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3,NA,Red to yellow,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ilicifolia,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6-9,Pre-1925,3,NA,Purple or black,13-17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laurocerasus,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,Purple to black,10,13-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mahaleb,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-Jun,Early,3,I-2,Black,10-Aug,10-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maritima,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,Purple,13-25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
munsoniana,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09-Jun,Pre-1909,3,NA,Red or yellow,20-30,15-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
padus,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Early,NA,2,Black in typical variety,08-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pensylvanica,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Mar,1773,2,NA,Light red,07-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
persica,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-7.6,Early,3,I-2,Yellow to red,30-60,30-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pumila,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3-2.4,1756,NA,NA,Purple-black,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P.var. besseyi,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3-1.2,1892,03-Feb,NA,Purple to black,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serotina,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3-33.5,1629,5,I-5,Black,10-Jul,10-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spinosa,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Early,NA,I-2,Blue-black,15-Oct,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subcordata,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-7.6,~ 1850,NA,2,Red or yellow,20-30,15-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tomentosa,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8-3,1870,03-Feb,I-2,Red,31-Oct,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
umbellata,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Black, red, yellow",15-Oct,13-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
virginiana,NA,NA,NA,NA,3,881,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8-9,1724,NA,NA,Red-purple to dark purple,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albicaulis,NA,1852,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-33,20-30,05-Mar,NA,NA,NA,NA,NA,NA,NA
aristata,NA,1861,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Jun,20,102,NA,NA,NA,NA,NA,NA,NA
arizonica,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-27,15-20,03-Feb,NA,NA,NA,NA,NA,NA,NA
armandii,NA,1895,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-37,20,NA,NA,NA,NA,NA,NA,NA,NA
attenuata,NA,1847,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-May,08-May,I,NA,NA,NA,NA,NA,NA,NA
balfouriana,NA,1852,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Nov,20,06-May,NA,NA,NA,NA,NA,NA,NA
banksiana,NA,"1783, earlier",NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-30,15-Mar,04-Mar,NA,NA,NA,NA,NA,NA,NA
brutia,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-30,10-Jul,I,NA,NA,NA,NA,NA,NA,NA
canariensis,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15-20,04-Mar,NA,NA,NA,NA,NA,NA,NA
caribaea,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
cembra,NA,1746,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-Oct,25-30,10-Jun,NA,NA,NA,NA,NA,NA,NA
cembroides,NA,1830,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-May,NA,08-May,NA,NA,NA,NA,NA,NA,NA
clausa,NA,1832,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-May,5,02-Jan,NA,NA,NA,NA,NA,NA,NA
contorta,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. contorta,NA,1855,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jun,08-Apr,I,NA,NA,NA,NA,NA,NA,NA
var. latifolia,NA,1853,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-46,10-May,I,NA,NA,NA,NA,NA,NA,NA
var. murrayana,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-30,08-Apr,I,NA,NA,NA,NA,NA,NA,NA
coulteri,NA,1832,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-Sep,20-Aug,06-Mar,NA,NA,NA,NA,NA,NA,NA
densiflora,NA,1854,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-37,20-30,2,NA,NA,NA,NA,NA,NA,NA
echinata,NA,1726,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-30,20-May,10-Mar,NA,NA,NA,NA,NA,NA,NA
edulis,NA,1848,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Mar,25-75,05-Feb,NA,NA,NA,NA,NA,NA,NA
elliottii,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. densa,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Aug,12-Aug,I-5,NA,NA,NA,NA,NA,NA,NA
var. elliottii,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-30,10-Jul,3,NA,NA,NA,NA,NA,NA,NA
engelmannii,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-21,28-30,04-Mar,NA,NA,NA,NA,NA,NA,NA
flexilis,NA,1861,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-Jun,20-40,04-Feb,NA,NA,NA,NA,NA,NA,NA
gerardiana,NA,1839,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
glabra,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-27,10,NA,NA,NA,NA,NA,NA,NA,NA
halepensis,NA,1683,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-24,15-20,I,NA,NA,NA,NA,NA,NA,NA
heldreichii,NA,1865,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
jeffreyi,NA,1853,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-55,8,04-Feb,NA,NA,NA,NA,NA,NA,NA
kesiya,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-46,10-May,I,NA,NA,NA,NA,NA,NA,NA
koraiensis,NA,1861,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-46,15-40,I-5,NA,NA,NA,NA,NA,NA,NA
lambertiana,NA,1827,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-69,40-80,05-Mar,NA,NA,NA,NA,NA,NA,NA
leiophylla var. chihuahuana,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-Sep,28-30,04-Mar,NA,NA,NA,NA,NA,NA,NA
merkusii,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-30,20-Oct,I-2,NA,NA,NA,NA,NA,NA,NA
monophylla,NA,1848,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Jun,20-25,I-2,NA,NA,NA,NA,NA,NA,NA
monticola,NA,1851,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-61,20-Jul,07-Mar,NA,NA,NA,NA,NA,NA,NA
mugo,NA,1779,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Feb,10,1,NA,NA,NA,NA,NA,NA,NA
muricata,NA,1846,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-Dec,06-May,03-Feb,NA,NA,NA,NA,NA,NA,NA
nigra,NA,1759,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-50,15-40,05-Feb,NA,NA,NA,NA,NA,NA,NA
palustris,NA,1727,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-37,20,07-May,NA,NA,NA,NA,NA,NA,NA
patula,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-34,15-Dec,NA,NA,NA,NA,NA,NA,NA,NA
parviflora,NA,1861,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-May,NA,05-Apr,NA,NA,NA,NA,NA,NA,NA
peuce,NA,1863,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-Oct,30-Dec,04-Mar,NA,NA,NA,NA,NA,NA,NA
pinaster,NA,"1660, earlier",NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-37,15-Oct,05-Mar,NA,NA,NA,NA,NA,NA,NA
pinea,NA,Long history,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
ponderosa var. ponderosa,NA,1826,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-70,16-20,05-Feb,NA,NA,NA,NA,NA,NA,NA
var. scopulorum,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-35,20-Jun,05-Feb,NA,NA,NA,NA,NA,NA,NA
pumila,NA,1807,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
pungens,NA,1804,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Sep,5,NA,NA,NA,NA,NA,NA,NA,NA
quadrifolia,NA,1885,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09-May,NA,I-5,NA,NA,NA,NA,NA,NA,NA
radiata,NA,1833,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-46,10-May,I,NA,NA,NA,NA,NA,NA,NA
macrocarpa,NA,NA,20,NA,3,895,Pseudotsuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-Sep,17-Nov,NA,NA,NA,NA,NA
menziesii var. glauca,NA,NA,20,10-Mar,3,895,Pseudotsuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-49,07-Apr,NA,NA,NA,NA,NA
var. menziesii,NA,NA,7-10+,11-Feb,3,895,Pseudotsuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-91,10-Jun,NA,NA,NA,NA,NA
lawsoniana,NA,1854,NA,05-Mar,3,393,Chamaecyparis,to 73,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greenish yellow to red brown,NA,NA,NA,NA
nootkatensis,NA,1851,NA,4 or more,3,393,Chamaecyparis,to 53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow brown to red brown,NA,NA,NA,NA
thyoides,NA,1727,NA,I or more,3,393,Chamaecyparis,27-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenish with glaucous bloom to bluish- purple & glaucous, finally red brown",NA,NA,NA,NA
resinosa,NA,1756,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-46,NA,07-Mar,NA,NA,NA,20-25,NA,NA,NA
rigida,NA,"1759, earlier",NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-Jun,NA,09-Apr,NA,NA,NA,04-Mar,NA,NA,NA
roxburghii,NA,1807,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46-55,NA,04-Feb,NA,NA,NA,15-40,NA,NA,NA
sabiniana,NA,1832,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-Dec,NA,04-Feb,NA,NA,NA,25-Oct,NA,NA,NA
serotina,NA,1713,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-Dec,NA,I,NA,NA,NA,10-Apr,NA,NA,NA
sibirica,NA,1837,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,08-Mar,NA,NA,NA,25-35,NA,NA,NA
strobiformis,NA,1840,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-38,NA,04-Mar,NA,NA,NA,15,NA,NA,NA
strobus,NA,1705,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-67,NA,10-Mar,NA,NA,NA,10-May,NA,NA,NA
sylvestris,NA,Long history,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-40,NA,06-Apr,NA,NA,NA,15-May,NA,NA,NA
taeda,NA,1713,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-34,NA,13-Mar,NA,NA,NA,10-May,NA,NA,NA
thunbergiana,NA,1855,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,NA,NA,NA,NA,NA,6-40,NA,NA,NA
torreyana,NA,1853,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Aug,NA,I,NA,NA,NA,18-Dec,NA,NA,NA
virginiana,NA,1739,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-30,NA,I,NA,NA,NA,5,NA,NA,NA
wallichiana,NA,1827,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-46,NA,I-2,NA,NA,NA,15-20,NA,NA,NA
washoensis,NA,NA,NA,NA,2,814,Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-46,NA,05-Feb,NA,NA,NA,15-20,NA,NA,NA
